"Formula or Name","MD1","MD2","MD3","MD4","MD5","MD6","MD7","MD8","MD9","MD10","pKa (exp)"
"CF3COOH","2.55","2","0","3","73.6","114.0","2.9","1","-3.2","-1.92","0.11"
"CH3COOH","2.55","2","3","0","56.3","60.1","4.6","1","-11.0","3.25","4.76"
"HCO2H","2.55","2","1","0","39.9","46.0","4.9","0","-8.8","1.66","3.76"
"(CH3)2CHCO2H","2.55","2","7","0","91.5","88.1","1.6","3","-6.4","4.21","4.86"
"(CH3)3CCO2H","2.55","2","9","0","110.6","102.1","1.6","4","-6.5","2.93","5.05"
"CF3CH2CH2CO2H","2.55","2","4","3","110.5","142.1","3.5","3","-12.0","7.55","4.18"
"CF3CF2CF2CO2H","2.55","2","0","7","129.9","214.0","2.8","3","-0.8","0.61","0.17"
"CH3CH2CH2CO2H","2.55","2","7","0","93.9","88.1","2.6","3","-6.1","5.45","4.82"
"CF3CH2CH2CH2CO2H","2.55","2","6","3","130.5","156.1","4.5","4","-12.6","7.96","4.50"
"CH2=CHCO2H","2.55","2","3","0","66.9","72.1","3.4","2","-7.3","3.01","4.25"
"CH2=CFCO2H","2.55","2","2","1","73.3","90.1","4.6","2","-8.8","3.86","2.55"
"CF2=CHCO2H","2.55","2","1","2","79.7","108.0","1.2","2","-5.6","7.70","3.17"
"CF2=CFCO2H","2.55","2","0","3","83.0","126.0","3.0","2","-4.4","5.56","1.79"
"CH2=CHCH2CO2H","2.55","2","5","0","87.8","86.1","2.2","3","-6.9","5.14","4.34"
"CH2CH=CHCO2H (trans)","2.55","2","4","0","84.8","85.1","3.2","3","-8.0","4.45","4.69"
"(CH3)2C=CHCO2H","2.55","2","7","0","101.8","100.1","2.1","4","-8.7","4.57","5.12"
"cyclopropyl-carboxylic acid","2.55","2","5","0","81.6","86.1","1.7","3","-7.9","5.79","4.83"
"cyclobutyl-carboxylic acid","2.55","2","7","0","99.4","100.1","2.3","4","-6.9","5.84","4.79"
"cyclopentyl-carboxylic acid","2.55","2","9","0","115.7","114.1","5.6","5","-9.3","4.57","4.99"
"cyclohexyl-carboxylic acid","2.55","2","11","0","134.7","128.2","6.3","6","-8.2","3.18","4.91"
"1-methyl-cyclohexyl-carboxylic acid","2.55","2","13","0","151.0","142.2","2.6","7","-6.0","4.39","5.13"
"2-methyl-cyclohexyl-carboxylic acid (trans)","2.55","2","13","0","150.6","142.2","6.2","7","-7.4","1.75","5.74"
"2-methyl-cyclohexyl-carboxylic acid (cis)","2.55","2","13","0","153.5","142.2","2.6","7","-5.1","5.33","5.04"
"3-methyl-cyclohexyl-carboxylic acid (trans)","2.55","2","13","0","152.4","142.2","6.3","7","-7.5","3.38","4.80"
"3-methyl-cyclohexyl-carboxylic acid (cis)","2.55","2","13","0","153.8","142.2","5.7","7","-7.7","2.00","4.75"
"4-methyl-cyclohexyl-carboxylic acid (trans)","2.55","2","13","0","155.0","142.2","2.9","7","-5.0","5.09","4.89"
"4-methyl-cyclohexyl-carboxylic acid (cis)","2.55","2","13","0","157.0","142.2","2.4","7","-5.2","6.30","5.04"
"Cyclohexyl-ethanoic acid","2.55","2","13","0","152.0","142.2","5.9","7","-8.4","0.28","4.80"
"Phenyl-CO2H","2.55","2","5","0","105.8","122.1","5.1","6","-12.2","0.87","4.20"
"o-Methylbenzoic acid","2.55","2","7","0","124.2","136.2","5.0","7","-12.5","1.78","3.91"
"m-Methylbenzoic acid","2.55","2","7","0","129.0","136.2","5.5","7","-12.6","0.86","4.27"
"o-Fluorophenyl-CO2H","2.55","2","4","1","112.3","140.1","3.5","6","-12.0","3.24","3.27"
"m-Fluorophenyl-CO2H","2.55","2","4","1","115.7","140.1","3.0","6","-9.8","5.84","3.87"
"p-Fluorophenyl-CO2H","2.55","2","4","1","119.6","140.1","1.4","6","-9.6","6.56","4.14"
"CF2H-CO2H","2.55","2","1","2","67.9","96.0","3.0","1","-7.3","1.15","1.27"
"CH2F-CO2H","2.55","2","2","1","60.8","78.0","3.5","1","-9.7","2.98","2.64"
"CH2CH3-CO2H","2.55","2","5","0","74.4","74.1","5.5","2","-10.2","3.59","4.89"
"CH2CF3-CO2H","2.55","2","2","3","92.3","128.1","3.0","2","-9.3","4.41","3.03"
"p-Methylbenzoic acid","2.55","2","7","0","127.6","136.2","2.6","7","-10.6","3.74","4.37"
"CF3(CF2)2(CH2)2CO2H","2.55","2","4","7","168.7","242.1","2.4","5","-5.6","9.75","4.18"
"(CH3CH2)2HCO2H","2.55","2","11","0","131.4","104.2","4.9","4","-7.9","0.18","4.75"
"benzenesulfinic acid","2.58","2","5","0","115.6","142.2","4.1","6","-20.9","2.70","1.84"
"p-methyl-benzenesulfinic acid","2.58","2","7","0","133.7","156.2","3.5","7","-24.7","4.28","2.80"
"p-chloro-benzenesulfinic acid","2.58","2","4","0","134.6","176.6","2.5","6","-20.4","1.13","2.29"
"p-bromo-benzenesulfinic acid","2.58","2","4","0","137.4","221.1","2.5","6","-36.8","-6.23","2.49"
"p-nitro-benzenesulfinic acid","2.58","2","4","0","143.3","187.2","1.9","6","-23.5","3.95","2.32"
"p-methoxybenzenesulfinic acid","2.58","2","7","0","145.2","172.2","5.6","7","-25.8","3.44","2.72"
"m-chloro-benzenesulfinic acid","2.58","2","4","0","134.1","176.6","2.8","6","-20.0","0.55","2.68"
"m-nitro-benzenesulfinic acid","2.58","2","4","0","145.8","187.2","3.0","6","-22.8","2.84","2.35"
"CF3SO3H","2.58","3","0","3","90.2","150.1","2.2","1","-13.0","-12.01","-9.95"
"CH3SO3H","2.58","3","3","0","72.1","96.1","3.0","1","-22.1","-4.55","-2.23"
"p-Toluenesulfonic acid","2.58","3","7","0","144.3","172.2","5.7","7","-21.4","-5.43","-1.34"
"benzenesulfonic acid","2.58","3","5","0","124.7","158.2","3.9","6","-20.7","-5.73","2.55"
"sulfuric acid","2.58","4","0","0","63.3","98.1","3.4","0","-21.0","-7.16","-2.80"
"Methylphosphinic acid","2.19","2","3","0","68.7","79.0","3.9","1","-14.8","5.05","3.08"
"Ethylphosphinic acid","2.19","2","5","0","87.6","93.0","4.1","2","-14.0","6.01","3.29"
"N-Propylphosphinic acid","2.19","2","7","0","106.5","107.1","3.8","3","-13.6","6.07","3.46"
"Isopropylphosphinic acid","2.19","2","7","0","105.6","107.1","4.0","3","-12.8","5.60","3.56"
"N-Butylphosphinic acid","2.19","2","9","0","122.3","121.1","4.1","4","-13.5","6.38","3.41"
"tert-Butylphosphinic acid","2.19","2","9","0","123.0","121.1","3.9","4","-11.6","3.92","4.24"
"Phenylphosphinic acid","2.19","2","5","0","120.4","141.1","3.2","6","-17.6","5.65","2.10"
"CF3PO3H2","2.19","3","0","3","95.2","150.0","1.6","1","-9.4","0.52","1.16"
"CH3PO3H2","2.19","3","3","0","75.3","96.0","1.4","1","-11.9","5.26","2.34"
"CH2CH3-PO3H2","2.19","3","5","0","94.2","110.1","2.4","2","-11.1","5.08","2.42"
"CH3CH2CH2PO3H2","2.19","3","7","0","112.4","124.1","4.7","3","-11.8","3.43","2.47"
"CH3CH2CH2CH2PO3H2","2.19","3","9","0","128.9","138.1","2.3","4","-10.6","5.06","2.59"
"Isopropyl-PO3H2","2.19","3","7","0","111.0","124.1","2.2","3","-10.0","3.98","2.61"
"N-Butyl-2-Phosphonate","2.19","3","9","0","134.9","138.1","2.2","4","-9.5","3.64","2.74"
"Isobutylphosphonate","2.19","3","9","0","131.0","138.1","2.4","4","-10.3","4.31","2.70"
"Tert-butylphosphonate","2.19","3","9","0","128.6","138.1","1.4","4","-9.4","3.40","2.79"
"2,2â€™-dimethyl-n-propyl-phosphonate","2.19","3","11","0","145.2","152.1","2.4","5","-9.9","4.23","2.84"
"Tert-amyl-phosphonate","2.19","3","11","0","147.9","152.1","2.2","5","-8.7","3.29","2.88"
"PhPO3H2","2.19","3","5","0","127.1","158.1","2.4","6","-13.8","2.89","2.49"
"o-Methyl-PhPO3H2","2.19","3","7","0","147.1","172.1","1.5","7","-14.1","2.19","2.10"
"m-Methyl-PhPO3H2","2.19","3","7","0","145.7","172.1","2.4","7","-14.3","2.28","1.88"
"p-Methyl-PhPO3H2","2.19","3","7","0","147.0","172.1","2.9","7","-14.4","2.08","1.81"
"PhCH2PO3H2","2.19","3","7","0","147.2","172.1","1.5","7","-15.6","3.51","3.30"
"CH3OPO3H2","2.19","4","3","0","81.7","112.0","0.8","1","-12.3","1.21","1.55"
"CH2CH3-OPO3H2","2.19","4","5","0","102.0","126.1","3.4","2","-12.8","1.39","1.60"
"CH3CH2CH2OPO3H2","2.19","4","7","0","123.2","140.1","3.8","3","-10.5","-0.93","1.88"
"CH3CH2CH2CH2OPO3H2","2.19","4","9","0","138.6","154.1","4.1","4","-10.5","-0.46","1.89"
"o-fluorophenyl-phosphonate","2.19","3","4","1","135.2","176.1","3.0","6","-14.3","2.17","1.64"
